,language,language_repo_bytes,repo_name,repo_url,repo_owner_name,repo_owner_url,repo_last_updated_date,repo_description
12,Python,2304,CapstoneProject,https://github.com/GWC-DCMB/CapstoneProject,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-12 16:37:22,Capstone Project datasets & instructions.
13,Jupyter Notebook,27645,challengeQuestions,https://github.com/GWC-DCMB/challengeQuestions,GWC-DCMB,https://github.com/GWC-DCMB,2019-10-10 17:19:06,Jupyter notebooks of challenge questions for learners.
14,Python,3559,challengeQuestions,https://github.com/GWC-DCMB/challengeQuestions,GWC-DCMB,https://github.com/GWC-DCMB,2019-10-10 17:19:06,Jupyter notebooks of challenge questions for learners.
15,Shell,869,challengeQuestions,https://github.com/GWC-DCMB/challengeQuestions,GWC-DCMB,https://github.com/GWC-DCMB,2019-10-10 17:19:06,Jupyter notebooks of challenge questions for learners.
16,Jupyter Notebook,78222,ClubCurriculum,https://github.com/GWC-DCMB/ClubCurriculum,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-06 03:42:00,Curriculum for our weekly club for high school students.
17,Shell,777,ClubCurriculum,https://github.com/GWC-DCMB/ClubCurriculum,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-06 03:42:00,Curriculum for our weekly club for high school students.
18,Jupyter Notebook,12523,codeDemos,https://github.com/GWC-DCMB/codeDemos,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-04 18:34:23,Stand-alone Python coding demos.
19,Python,2761,codeDemos,https://github.com/GWC-DCMB/codeDemos,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-04 18:34:23,Stand-alone Python coding demos.
20,Python,9526,GWC-DCMB,https://github.com/GWC-DCMB/GWC-DCMB,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-11 05:36:54,A meta-repository to help navigate the repos and resources of Girls Who Code at UM-DCMB.
21,Shell,304,GWC-DCMB,https://github.com/GWC-DCMB/GWC-DCMB,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-11 05:36:54,A meta-repository to help navigate the repos and resources of Girls Who Code at UM-DCMB.
22,HTML,3361038,ozobotLessons,https://github.com/GWC-DCMB/ozobotLessons,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-04 14:54:51,Lesson plans for Ozobots.
23,Jupyter Notebook,109045,SummerExperience,https://github.com/GWC-DCMB/SummerExperience,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-11 21:53:54,Curriculum & materials for our week-long Data Science Summer Experience.
24,Shell,904,SummerExperience,https://github.com/GWC-DCMB/SummerExperience,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-11 21:53:54,Curriculum & materials for our week-long Data Science Summer Experience.
25,Python,242,SummerExperience,https://github.com/GWC-DCMB/SummerExperience,GWC-DCMB,https://github.com/GWC-DCMB,2019-11-11 21:53:54,Curriculum & materials for our week-long Data Science Summer Experience.
26,Jupyter Notebook,1763,advent-of-code-2018,https://github.com/kelly-sovacool/advent-of-code-2018,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-29 16:05:58,My solutions to the Advent of Code 2018 puzzles.
27,Python,7521,advent-of-code-2018,https://github.com/kelly-sovacool/advent-of-code-2018,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-29 16:05:58,My solutions to the Advent of Code 2018 puzzles.
28,Shell,315,advent-of-code-2018,https://github.com/kelly-sovacool/advent-of-code-2018,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-29 16:05:58,My solutions to the Advent of Code 2018 puzzles.
29,Python,8651,bioinf-contest-2019,https://github.com/kelly-sovacool/bioinf-contest-2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-02-10 07:09:22,
30,Jupyter Notebook,366178,bioinf529-winter2019,https://github.com/kelly-sovacool/bioinf529-winter2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-15 03:51:29,
31,Python,37941,bioinf529-winter2019,https://github.com/kelly-sovacool/bioinf529-winter2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-15 03:51:29,
32,Shell,68,bioinf529-winter2019,https://github.com/kelly-sovacool/bioinf529-winter2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-15 03:51:29,
33,TeX,659009,bioinf540-fall2019,https://github.com/kelly-sovacool/bioinf540-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 17:04:54,Assignments for BIOINF 540: Mathematics of Biological Networks
34,MATLAB,26481,bioinf540-fall2019,https://github.com/kelly-sovacool/bioinf540-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 17:04:54,Assignments for BIOINF 540: Mathematics of Biological Networks
35,Shell,232,bioinf540-fall2019,https://github.com/kelly-sovacool/bioinf540-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 17:04:54,Assignments for BIOINF 540: Mathematics of Biological Networks
36,R,80082,biostat521-fall2019,https://github.com/kelly-sovacool/biostat521-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 20:30:12,Assignments for BIOSTAT 521: Applied Biostatistics I
37,TeX,13828,biostat521-fall2019,https://github.com/kelly-sovacool/biostat521-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 20:30:12,Assignments for BIOSTAT 521: Applied Biostatistics I
38,Python,536,biostat521-fall2019,https://github.com/kelly-sovacool/biostat521-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 20:30:12,Assignments for BIOSTAT 521: Applied Biostatistics I
39,Shell,71,biostat521-fall2019,https://github.com/kelly-sovacool/biostat521-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 20:30:12,Assignments for BIOSTAT 521: Applied Biostatistics I
40,Python,31522,csurs,https://github.com/kelly-sovacool/csurs,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-29 14:47:34,Archive from my time working in Dr. Jaromczyk's CSURS lab at UK (Fall 2015 - Spring 2016).
41,Perl,42,csurs,https://github.com/kelly-sovacool/csurs,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-29 14:47:34,Archive from my time working in Dr. Jaromczyk's CSURS lab at UK (Fall 2015 - Spring 2016).
42,Python,339426,detectingGeneDuplicationEvents,https://github.com/kelly-sovacool/detectingGeneDuplicationEvents,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-04 21:53:29,Build ortholog & paralog sets from whole transcriptomes with all-vs-all BLAST.
43,Jupyter Notebook,10335,dmrr-submission-prep,https://github.com/kelly-sovacool/dmrr-submission-prep,kelly-sovacool,https://github.com/kelly-sovacool,2019-01-18 08:13:08,Prepare miRNA metadata for submission to the exRNA Data Coordination Center
44,Python,21069,dmrr-submission-prep,https://github.com/kelly-sovacool/dmrr-submission-prep,kelly-sovacool,https://github.com/kelly-sovacool,2019-01-18 08:13:08,Prepare miRNA metadata for submission to the exRNA Data Coordination Center
45,C++,85888,eecs402-fall2019,https://github.com/kelly-sovacool/eecs402-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-15 17:49:20,Assignments for EECS402: Programming for Scientists & Engineers
46,Makefile,1158,eecs402-fall2019,https://github.com/kelly-sovacool/eecs402-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-15 17:49:20,Assignments for EECS402: Programming for Scientists & Engineers
47,Shell,408,eecs402-fall2019,https://github.com/kelly-sovacool/eecs402-fall2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-15 17:49:20,Assignments for EECS402: Programming for Scientists & Engineers
48,Jupyter Notebook,0,fitness-geek,https://github.com/kelly-sovacool/fitness-geek,kelly-sovacool,https://github.com/kelly-sovacool,2019-08-07 02:16:25,Having fun with my Strava data!
49,Python,1423,fitness-geek,https://github.com/kelly-sovacool/fitness-geek,kelly-sovacool,https://github.com/kelly-sovacool,2019-08-07 02:16:25,Having fun with my Strava data!
50,Python,3918,geo109-project,https://github.com/kelly-sovacool/geo109-project,kelly-sovacool,https://github.com/kelly-sovacool,2019-01-18 08:13:23,Lexington collision maps for GEO109
51,Python,8705,gliomaMasterTFs,https://github.com/kelly-sovacool/gliomaMasterTFs,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:35:37,Identify master transcription factors in glioblastoma multiforme.
52,R,4681,gliomaMasterTFs,https://github.com/kelly-sovacool/gliomaMasterTFs,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:35:37,Identify master transcription factors in glioblastoma multiforme.
53,Shell,1353,gliomaMasterTFs,https://github.com/kelly-sovacool/gliomaMasterTFs,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:35:37,Identify master transcription factors in glioblastoma multiforme.
54,Jupyter Notebook,3869,gwc3-capstone-winter2019,https://github.com/kelly-sovacool/gwc3-capstone-winter2019,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:36:16,"Girls Who Code capstone project by Gianna, Vibha, & Anisha for Winter 2019"
55,Python,417,health-tracking,https://github.com/kelly-sovacool/health-tracking,kelly-sovacool,https://github.com/kelly-sovacool,2019-03-30 15:40:00,Tracking my headaches & other health data.
56,Shell,595,hpc-config,https://github.com/kelly-sovacool/hpc-config,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-14 14:19:01,Config files for Linux HPC accounts
57,Jupyter Notebook,621,jupyter-ci-mwe,https://github.com/kelly-sovacool/jupyter-ci-mwe,kelly-sovacool,https://github.com/kelly-sovacool,2019-08-15 20:10:11,A minimal working example of using continuous integration to convert jupyter notebooks to PDFs.
58,Shell,95,kelly-sovacool.github.io,https://github.com/kelly-sovacool/kelly-sovacool.github.io,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-10 16:41:13,"My personal website, forked from the academicpages template."
59,Python,3138,lang-stats,https://github.com/kelly-sovacool/lang-stats,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-06 18:12:53,Collect & plot personal programming language statistics from GitHub repos
60,TeX,85146,latex-cv,https://github.com/kelly-sovacool/latex-cv,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 16:45:55,My curriculum vitae in LaTeX + a Snakemake pipeline for compiling tex to pdf.
61,Python,736,latex-cv,https://github.com/kelly-sovacool/latex-cv,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 16:45:55,My curriculum vitae in LaTeX + a Snakemake pipeline for compiling tex to pdf.
62,Shell,73,latex-cv,https://github.com/kelly-sovacool/latex-cv,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-13 16:45:55,My curriculum vitae in LaTeX + a Snakemake pipeline for compiling tex to pdf.
63,R,258205,lncRNA-pan-cancer,https://github.com/kelly-sovacool/lncRNA-pan-cancer,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-03 19:43:03,Pan-cancer analysis of lncRNA eSNVs
64,Jupyter Notebook,2853,lncRNA-pan-cancer,https://github.com/kelly-sovacool/lncRNA-pan-cancer,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-03 19:43:03,Pan-cancer analysis of lncRNA eSNVs
65,Python,3776,lncRNA-pan-cancer,https://github.com/kelly-sovacool/lncRNA-pan-cancer,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-03 19:43:03,Pan-cancer analysis of lncRNA eSNVs
66,TeX,2476,lncRNA-pan-cancer,https://github.com/kelly-sovacool/lncRNA-pan-cancer,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-03 19:43:03,Pan-cancer analysis of lncRNA eSNVs
67,Shell,2587,mac-config,https://github.com/kelly-sovacool/mac-config,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-14 21:26:32,
68,Python,10652,meta-private,https://github.com/kelly-sovacool/meta-private,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-14 20:45:06,A meta-repository to organize my projects
69,Shell,178,meta-private,https://github.com/kelly-sovacool/meta-private,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-14 20:45:06,A meta-repository to organize my projects
70,Python,11077,meta-repo,https://github.com/kelly-sovacool/meta-repo,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-14 20:36:04,A meta-repository to organize my public projects.
71,R,1999,meta-repo,https://github.com/kelly-sovacool/meta-repo,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-14 20:36:04,A meta-repository to organize my public projects.
72,Shell,276,meta-repo,https://github.com/kelly-sovacool/meta-repo,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-14 20:36:04,A meta-repository to organize my public projects.
73,R,31712,micrbiol612,https://github.com/kelly-sovacool/micrbiol612,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:35:56,
74,R,65581,miRNA-diff-expr,https://github.com/kelly-sovacool/miRNA-diff-expr,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-03 20:17:04,Differential expression analysis for miRNA sequence data
75,Jupyter Notebook,13900,nih_rigor_workshop,https://github.com/kelly-sovacool/nih_rigor_workshop,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-15 04:06:36,
76,Python,372,nih_rigor_workshop,https://github.com/kelly-sovacool/nih_rigor_workshop,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-15 04:06:36,
77,TeX,58251,NSF-GRFP,https://github.com/kelly-sovacool/NSF-GRFP,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-21 22:16:25,Application for the NSF Graduate Research Fellowship Program
78,Python,781,NSF-GRFP,https://github.com/kelly-sovacool/NSF-GRFP,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-21 22:16:25,Application for the NSF Graduate Research Fellowship Program
79,Shell,85,NSF-GRFP,https://github.com/kelly-sovacool/NSF-GRFP,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-21 22:16:25,Application for the NSF Graduate Research Fellowship Program
80,Python,1404,rao-lab-project-updates,https://github.com/kelly-sovacool/rao-lab-project-updates,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-29 14:46:18,Tracking progress for my projects in Arvind Rao's lab.
81,Shell,2382,snakemake_hpc_mwe,https://github.com/kelly-sovacool/snakemake_hpc_mwe,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-12 21:34:57,A minimal working example of using Snakemake on an HPC running PBS-torque or SLURM.
82,Python,661,snakemake_hpc_mwe,https://github.com/kelly-sovacool/snakemake_hpc_mwe,kelly-sovacool,https://github.com/kelly-sovacool,2019-11-12 21:34:57,A minimal working example of using Snakemake on an HPC running PBS-torque or SLURM.
83,Python,1270,stats-ref,https://github.com/kelly-sovacool/stats-ref,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-15 03:48:37,A reference for concepts & equations in statistics.
84,CSS,172,stats-ref,https://github.com/kelly-sovacool/stats-ref,kelly-sovacool,https://github.com/kelly-sovacool,2019-06-15 03:48:37,A reference for concepts & equations in statistics.
85,Python,58070,tiger_salamander_project,https://github.com/kelly-sovacool/tiger_salamander_project,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-04 22:35:38,SNP pipeline using Snakemake for the Weisrock Lab's Tiger Salamander project.
86,Shell,5591,tiger_salamander_project,https://github.com/kelly-sovacool/tiger_salamander_project,kelly-sovacool,https://github.com/kelly-sovacool,2019-04-04 22:35:38,SNP pipeline using Snakemake for the Weisrock Lab's Tiger Salamander project.
87,Python,304582,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
88,C++,111651,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
89,Ruby,22387,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
90,PHP,20560,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
91,JavaScript,15983,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
92,Perl,12856,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
93,R,2383,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
94,HTML,2129,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
95,CSS,866,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
96,Makefile,356,undergrad-comp-sci,https://github.com/kelly-sovacool/undergrad-comp-sci,kelly-sovacool,https://github.com/kelly-sovacool,2019-10-17 16:45:15,A collection of code I wrote for assignments in computer science courses as an undergraduate student at the University of Kentucky (2014-2018).
97,R,9871,documenting-R,https://github.com/SchlossLab/documenting-R,SchlossLab,https://github.com/SchlossLab,2019-08-15 19:59:22,Materials for a code review on documenting R code.
98,R,11848,exception-handling,https://github.com/SchlossLab/exception-handling,SchlossLab,https://github.com/SchlossLab,2019-11-05 00:15:29,Materials for a code review on exception handling in R for lab meeting.
99,R,16092,OptiFitAnalysis,https://github.com/SchlossLab/OptiFitAnalysis,SchlossLab,https://github.com/SchlossLab,2019-11-15 14:50:19,Analysis of the OptiFit algorithm in the Mothur software package
100,Shell,14707,OptiFitAnalysis,https://github.com/SchlossLab/OptiFitAnalysis,SchlossLab,https://github.com/SchlossLab,2019-11-15 14:50:19,Analysis of the OptiFit algorithm in the Mothur software package
101,Python,12660,OptiFitAnalysis,https://github.com/SchlossLab/OptiFitAnalysis,SchlossLab,https://github.com/SchlossLab,2019-11-15 14:50:19,Analysis of the OptiFit algorithm in the Mothur software package
102,CSS,21940,schlosslab.github.io,https://github.com/SchlossLab/schlosslab.github.io,SchlossLab,https://github.com/SchlossLab,2019-11-11 15:08:28,The website for the Schloss Lab at the University of Michigan
103,HTML,17991,schlosslab.github.io,https://github.com/SchlossLab/schlosslab.github.io,SchlossLab,https://github.com/SchlossLab,2019-11-11 15:08:28,The website for the Schloss Lab at the University of Michigan
104,Ruby,6774,schlosslab.github.io,https://github.com/SchlossLab/schlosslab.github.io,SchlossLab,https://github.com/SchlossLab,2019-11-11 15:08:28,The website for the Schloss Lab at the University of Michigan
105,Shell,30517,snakemake_mothur,https://github.com/SchlossLab/snakemake_mothur,SchlossLab,https://github.com/SchlossLab,2019-08-01 17:58:44,Snakemake workflow for the mothur MiSeq SOP
106,R,23077,snakemake_mothur,https://github.com/SchlossLab/snakemake_mothur,SchlossLab,https://github.com/SchlossLab,2019-08-01 17:58:44,Snakemake workflow for the mothur MiSeq SOP
107,Python,9406,snakemake_mothur,https://github.com/SchlossLab/snakemake_mothur,SchlossLab,https://github.com/SchlossLab,2019-08-01 17:58:44,Snakemake workflow for the mothur MiSeq SOP
108,R,8455,snakemake_riffomonas_tutorial,https://github.com/SchlossLab/snakemake_riffomonas_tutorial,SchlossLab,https://github.com/SchlossLab,2019-11-05 00:14:22,A snakemake tutorial for make users
109,Python,7964,snakemake_riffomonas_tutorial,https://github.com/SchlossLab/snakemake_riffomonas_tutorial,SchlossLab,https://github.com/SchlossLab,2019-11-05 00:14:22,A snakemake tutorial for make users
110,Makefile,2266,snakemake_riffomonas_tutorial,https://github.com/SchlossLab/snakemake_riffomonas_tutorial,SchlossLab,https://github.com/SchlossLab,2019-11-05 00:14:22,A snakemake tutorial for make users
111,Shell,1547,snakemake_riffomonas_tutorial,https://github.com/SchlossLab/snakemake_riffomonas_tutorial,SchlossLab,https://github.com/SchlossLab,2019-11-05 00:14:22,A snakemake tutorial for make users
112,Python,16961,useful-programs,https://github.com/thesuperlab/useful-programs,thesuperlab,https://github.com/thesuperlab,2018-04-20 02:27:03,
113,Shell,5316,useful-programs,https://github.com/thesuperlab/useful-programs,thesuperlab,https://github.com/thesuperlab,2018-04-20 02:27:03,
114,R,9158,machine-learning-pipelines-r,https://github.com/um-dang/machine-learning-pipelines-r,um-dang,https://github.com/um-dang,2019-11-11 16:00:50,Machine Learning Pipelines in R: Predict colorectal cancer using microbiome data
115,R,12712,writing-functions-r,https://github.com/um-dang/writing-functions-r,um-dang,https://github.com/um-dang,2019-10-30 03:27:25,Introduction to writing functions in R
116,CSS,21137,umswc.github.io,https://github.com/UMSWC/umswc.github.io,UMSWC,https://github.com/UMSWC,2019-10-11 20:26:36,UM Software and Data Carpentry Website
117,HTML,12502,umswc.github.io,https://github.com/UMSWC/umswc.github.io,UMSWC,https://github.com/UMSWC,2019-10-11 20:26:36,UM Software and Data Carpentry Website
118,Python,9639,umswc.github.io,https://github.com/UMSWC/umswc.github.io,UMSWC,https://github.com/UMSWC,2019-10-11 20:26:36,UM Software and Data Carpentry Website
119,Ruby,6773,umswc.github.io,https://github.com/UMSWC/umswc.github.io,UMSWC,https://github.com/UMSWC,2019-10-11 20:26:36,UM Software and Data Carpentry Website
